time,number,latitude,longitude,cape,tcw,sshf,slhf,u10,v10,t2m,d2m,ssr,str,cin,sm,st,tcc,tp,mx2t6,mn2t6
2023-04-29 06:00:00,17,50.75,4.25,3.3744812,13.86401,55489.0,-214876.0,0.66736424,-2.7928607,280.5962,278.81897,160044.0,-605340.0,,384.4004,282.99432,99.999435,0.025110245,281.86597,280.39264
2023-04-29 06:00:00,18,50.75,4.25,2.9515228,13.403586,-22809.0,-333324.0,0.47892356,-3.2803154,280.82373,278.59454,111888.0,-401648.0,,396.48605,283.41318,99.999435,0.115356445,282.54105,280.65353
2023-04-29 06:00:00,19,50.75,4.25,2.583725,13.541,-49257.0,-257136.0,0.6694456,-3.2476883,280.44513,278.85532,143048.0,-428902.0,,382.07278,282.99295,99.999435,0.055191994,280.8867,280.24557
2023-04-29 06:00:00,20,50.75,4.25,2.2435303,13.221433,-49605.0,-320230.0,0.59595853,-2.9746804,280.99338,278.8383,150132.0,-400213.0,,390.94952,283.35068,99.999435,0.07309246,282.41742,280.55316
2023-04-29 06:00:00,21,50.75,4.25,0.5332947,13.123349,56881.0,-242256.0,0.65327525,-2.7595365,281.10052,279.1729,239360.0,-678975.0,,396.17767,283.33667,55.97997,0.011436462,282.66107,280.65427
2023-04-29 06:00:00,22,50.75,4.25,1.7194214,13.923498,5030.0,-299396.0,0.7618247,-3.2641413,281.498,279.56915,140216.0,-374393.0,,392.4754,283.53275,99.999435,0.04425335,282.88388,281.15982
2023-04-29 06:00:00,23,50.75,4.25,3.4112701,13.107862,30781.0,-272016.0,1.1510339,-3.2277496,280.73218,278.66208,237940.0,-633073.0,,379.69745,283.2351,99.999435,0.018397331,282.35922,280.41562
2023-04-29 06:00:00,24,50.75,4.25,3.0572662,13.235198,22082.0,-189876.0,0.5253533,-3.157476,280.29544,278.386,157212.0,-612991.0,,398.47745,282.795,99.999435,0.018149376,280.72134,280.02115
2023-04-29 06:00:00,25,50.75,4.25,3.0342712,13.421531,55141.0,-186900.0,0.8863845,-2.7627435,280.92578,279.20047,218112.0,-694276.0,,401.64456,282.90405,68.72329,0.004723549,280.95908,279.94724
2023-04-29 06:00:00,26,50.75,4.25,2.8687744,13.974137,8510.0,-251184.0,0.8167399,-2.817819,280.66406,278.72348,151548.0,-516882.0,,388.73334,283.1124,99.999435,0.056186676,282.25128,280.3457
2023-04-29 06:00:00,27,50.75,4.25,1.613678,14.227334,-3670.0,-280944.0,1.0705024,-2.3924117,280.78845,278.97278,111888.0,-425555.0,,387.07614,283.23123,99.999435,0.08626938,282.78857,280.58188
2023-04-29 06:00:00,28,50.75,4.25,1.7883759,13.807716,-25245.0,-299992.0,1.1252575,-3.1560814,281.5459,279.49548,133136.0,-375349.0,,388.15442,283.58234,99.999435,0.06016445,282.97327,280.9189
2023-04-29 06:00:00,29,50.75,4.25,1.8251648,13.514452,-14458.0,-309516.0,1.3124173,-3.002985,280.86386,278.8953,145880.0,-379174.0,,387.80426,283.3264,99.999435,0.014917374,282.02643,280.8073
2023-04-29 06:00:00,30,50.75,4.25,1.103363,13.732003,-29421.0,-248802.0,0.71315354,-3.2383466,280.88837,279.12778,169960.0,-541746.0,,388.70547,283.21896,99.999435,0.023867607,281.50073,280.20563
2023-04-29 06:00:00,31,50.75,4.25,2.280304,13.724383,22082.0,-249398.0,0.94626284,-3.342502,280.63928,278.9682,161460.0,-613469.0,,387.02045,283.20218,99.999435,0.019143105,281.79874,280.24783
2023-04-29 06:00:00,32,50.75,4.25,3.9215698,13.969221,-15502.0,-259516.0,1.247736,-2.6726704,280.77042,278.70645,205368.0,-571391.0,,399.11804,283.2426,99.999435,0.03505516,282.0187,280.31375
2023-04-29 06:00:00,33,50.75,4.25,5.1214905,13.638346,-16198.0,-224398.0,1.1212549,-2.6623523,280.57736,278.6502,175624.0,-554656.0,,387.93558,283.06534,99.999435,0.02312088,280.92636,280.11377
2023-04-29 06:00:00,34,50.75,4.25,3.5307922,13.467746,51313.0,-192852.0,0.6840149,-2.9921093,281.1587,279.1779,206784.0,-638811.0,,388.7572,283.1129,99.999435,0.01864624,281.22977,280.54843
2023-04-29 06:00:00,35,50.75,4.25,3.3193207,14.31165,-9586.0,-234518.0,1.1007619,-2.4572475,280.92712,279.17215,147296.0,-466676.0,,394.2798,283.2058,99.999435,0.050717354,282.24872,280.7384
2023-04-29 06:00:00,36,50.75,4.25,2.5285645,13.421531,11642.0,-216660.0,0.64735144,-2.925321,281.06366,278.94257,185540.0,-542224.0,,385.17825,283.14835,99.999435,0.023867607,281.53293,280.61258
2023-04-29 06:00:00,37,50.75,4.25,2.3538666,13.75634,11642.0,-249994.0,0.638866,-2.8225598,280.94437,278.82394,186956.0,-541268.0,,378.21133,283.20157,99.999435,0.040524483,281.2836,280.53995
2023-04-29 06:00:00,38,50.75,4.25,4.744507,13.650883,-46125.0,-318444.0,0.97716266,-3.2518713,281.07333,278.9221,165708.0,-334228.0,,403.8349,283.5449,99.999435,0.021878242,282.33862,281.0565
2023-04-29 06:00:00,39,50.75,4.25,2.1423798,13.426693,-5410.0,-266660.0,0.57434464,-3.08037,280.709,278.72943,167128.0,-500147.0,,378.5177,283.0701,99.999435,0.05195999,282.38962,280.46353
2023-04-29 06:00:00,40,50.75,4.25,2.082611,13.579595,-17589.0,-305348.0,0.74821603,-3.2058587,281.0386,279.189,133136.0,-373437.0,,389.04764,283.26553,99.999435,0.076075554,282.74118,280.72018
2023-04-29 06:00:00,41,50.75,4.25,2.1607666,13.7959175,40177.0,-245232.0,0.92961216,-3.3005333,281.18726,279.0057,206784.0,-590039.0,,390.21942,283.36584,82.5531,0.02461338,281.86237,280.85077
2023-04-29 06:00:00,42,50.75,4.25,3.8296204,13.493311,-21417.0,-282136.0,0.7086707,-2.9954557,280.69772,278.483,162876.0,-488671.0,,400.62997,283.17853,99.999435,0.050717354,281.8397,280.3894
2023-04-29 06:00:00,43,50.75,4.25,4.3353424,12.9453745,-37077.0,-324990.0,0.8397947,-2.6330714,280.53345,278.41986,124636.0,-375827.0,,394.10074,283.19754,99.999435,0.06389427,281.87317,280.29703
2023-04-29 06:00:00,44,50.75,4.25,2.597519,13.501669,854.0,-310706.0,0.8167399,-3.0828795,281.39136,279.25998,158628.0,-361961.0,,387.04233,283.47626,99.999435,0.032071114,282.73038,281.1406
2023-04-29 06:00:00,45,50.75,4.25,3.4710236,13.029692,-44385.0,-249398.0,0.8862244,-2.8982716,280.4971,278.45657,164292.0,-470979.0,,378.39835,283.05594,99.999435,0.04201603,281.3091,280.28928
2023-04-29 06:00:00,46,50.75,4.25,3.09404,13.592377,37045.0,-216066.0,1.5091834,-2.6498034,281.45947,279.63995,135968.0,-508753.0,,393.04437,283.5648,99.999435,0.050717354,282.23456,281.19153
2023-04-29 06:00:00,47,50.75,4.25,3.733078,13.493311,20690.0,-252970.0,0.93569607,-3.0435596,281.42688,279.683,196868.0,-450419.0,,381.4501,283.5018,99.999435,0.015663147,282.862,281.22275
2023-04-29 06:00:00,48,50.75,4.25,3.4894257,13.045424,12338.0,-273802.0,1.2832787,-2.8850255,280.68585,278.46902,160044.0,-511622.0,,386.79565,283.1898,99.999435,0.0395298,282.13513,280.6056
2023-04-29 06:00:00,49,50.75,4.25,4.4686584,13.665631,-22113.0,-267254.0,0.8463589,-3.0753503,281.03564,279.20392,141632.0,-362917.0,,400.80304,283.46576,99.999435,0.07035732,282.55496,281.04773
2023-04-29 06:00:00,50,50.75,4.25,4.068695,13.746016,42961.0,-230946.0,1.0850718,-2.8451476,281.13852,279.1069,184120.0,-563263.0,,387.25916,283.26266,99.999435,0.022127151,281.40442,280.76837
2023-04-29 12:00:00,1,50.75,4.25,5.9766083,14.894493,-2455615.0,-3026690.0,-0.2469813,-2.8065252,286.4824,281.05023,7615540.0,-1766292.0,,373.8466,285.0756,99.999435,0.064391136,286.34045,280.98856
2023-04-29 12:00:00,2,50.75,4.25,7.337433,14.373598,-1685511.0,-2371354.0,-0.30045554,-3.1481338,285.7686,280.3408,5095912.0,-948653.0,,361.6734,284.67365,99.999435,0.29187155,285.65945,281.3668
2023-04-29 12:00:00,3,50.75,4.25,7.319046,14.41637,-1951376.0,-2508254.0,-0.6465972,-2.781985,285.75214,280.7822,5876300.0,-1300094.0,,381.89572,284.51752,99.999435,0.20709467,285.62286,280.71893
2023-04-29 12:00:00,4,50.75,4.25,8.459198,14.1558,-1271750.0,-2191002.0,-0.7104781,-2.771388,285.16513,280.0915,4339596.0,-947697.0,,398.97876,284.18484,99.999435,0.6337142,285.11005,280.692
2023-04-29 12:00:00,5,50.75,4.25,6.6524353,13.814108,-1569630.0,-2393378.0,-0.017234169,-2.9183497,285.74084,280.32623,5052004.0,-1012247.0,,388.63983,284.56558,99.999435,0.35452223,285.6329,280.84027
2023-04-29 12:00:00,6,50.75,4.25,4.707733,14.427678,-1808700.0,-2368974.0,-0.5326042,-3.0071678,285.6361,280.77777,5373508.0,-1076798.0,,383.01178,284.51788,99.999435,0.194664,285.55927,280.71744
2023-04-29 12:00:00,7,50.75,4.25,3.6319427,13.869172,-2029674.0,-2520158.0,-0.43382096,-2.6775503,285.33398,280.3343,5750248.0,-1098314.0,,401.63663,284.7021,99.999435,0.22424889,285.2213,280.88846
2023-04-29 12:00:00,8,50.75,4.25,4.8318634,13.519122,-1716482.0,-2395758.0,-1.6811798,-2.620941,285.7788,280.00653,5288528.0,-1148042.0,,389.73996,284.4593,99.999435,0.24413776,285.65274,280.53244
2023-04-29 12:00:00,9,50.75,4.25,0.0,13.932348,-2654318.0,-2811221.0,-1.1211412,-2.6092286,285.2139,280.47873,7386096.0,-1592245.0,,389.4515,284.75903,91.88284,0.057678223,284.98874,280.94287
2023-04-29 12:00:00,10,50.75,4.25,3.9399567,14.308947,-1977824.0,-2545158.0,-0.20119196,-2.7814274,285.7007,280.1602,5760164.0,-1053368.0,,403.04712,284.7529,99.999435,0.13176537,285.6141,281.23447
2023-04-29 12:00:00,11,50.75,4.25,4.054901,14.164895,-1781209.0,-2315404.0,-0.43398106,-2.5149724,285.22546,280.43472,5498144.0,-1216418.0,,399.0643,284.31705,99.999435,0.1969018,285.0601,280.86
2023-04-29 12:00:00,12,50.75,4.25,10.183228,14.208898,-1789212.0,-2385044.0,-0.49289876,-2.6260998,285.47937,280.45596,5305524.0,-1060540.0,,378.53165,284.51953,99.999435,0.3793831,285.32254,280.90442
2023-04-29 12:00:00,13,50.75,4.25,9.194794,14.515928,-1606169.0,-2291000.0,0.35772595,-2.8765202,285.75916,280.5719,4954280.0,-1075363.0,,391.03903,284.60178,99.999435,0.28963423,285.62518,280.93665
2023-04-29 12:00:00,14,50.75,4.25,5.4754944,13.684314,-1696647.0,-2492778.0,-1.4749677,-3.195959,286.14206,280.10028,5379176.0,-1111224.0,,390.4502,284.55658,99.999435,0.27073956,285.98734,281.06396
2023-04-29 12:00:00,15,50.75,4.25,6.560486,14.624827,-2072129.0,-2630274.0,-0.28268415,-2.884607,285.85556,280.70087,6204888.0,-1342172.0,,389.64645,284.78836,99.999435,0.16408491,285.7223,281.05698
2023-04-29 12:00:00,16,50.75,4.25,2.9974976,13.85516,-2205062.0,-2599918.0,-0.20167229,-3.1425567,284.98825,280.37982,6009436.0,-1055759.0,,379.64572,284.84494,100.00096,0.15289736,284.9501,281.35907
